0,,Goals,Phases,Granularity,Collector,,,,,Representation,,,,,,Refactorization,,,,,,Quality Assessment,,,Open Issues
,,,,,,,,,,,,,,,,Domain Knowledge,,Community Refactorization,,,Functionality Refactorization,,,,
,,,,,Source,,,,Collection Technique,Syntax,,,Type,Visualization,,,,Algorithms,,Editing,,Metrics,,Graphical Comparation,
,,,,,Development,Runtime,Higher Level Models,Documentation,,Structure,Behavior,Evolution,,Relations,Elements,Aggregation Criteria,Expert Knowledge,Decomposition Algorithms,Optimization Algorithms,,,Single Decomposition,Several Decompositions,,
,,,,"- Methods
- Classes
- Entities
- Functionalities
- Packages
- OpenAPI
- File","- Source code
- Database Schema
- Versions History","- Runtime log traces
- User interactions","- Business process models
- Use cases
- Data flow diagrams","- Directly in de code
- Paper documents
- Digital format","- Static Analysis
- Dynamic Analysis
- Version Analysis
- Model Analysis","- Inner structure
- Inter structure
-- Association
-- Inheritance","- Call graph
- Sequence of accesses
- Frequency
- CPU level
- Memory level
- Response time","- By Contributor
- By Task","- Monolith
- Microservices","

- Structural relationship
- Control flow
- Data flow
- ...","- Cluster
- Element
- Sequences","- Functionality
- Lexical
- Task
- Contributor
- Connectivity","- Business capability
- Business domain","- Hierarchical Clustering
- Community detection
- K-means++
- Formal conceptual analysis
",- Genetic algorithms,"- Clusters
-- Merge
-- Split
-- Move element
-- Duplicate element","- Asynchronization
- Granularity Refinement
","- Coupling
- Cohesion
- Complexity
- Elements Size
- Team Size",- MoJoFM,"- Color
- Distance
- Size",
Abgaz2023,Decomposition of Monolith Applications into Microservices Architectures: A Systematic Review,"- RQ1 What are the primary phases of monolith to microservices decomposition and the major constituent elements of those phases? 
- RQ2 What are the existing approaches, tools and methods observed in the decomposition of monolith applications into microservices? 
- RQ3 What are the metrics, datasets, and benchmarks used for evaluating and validating monolith decomposition into microservices? 
- RQ4 What research gaps can be identified in the current literature?","- Phase I - Input Collection. 
- Phase II - Monolith Analysis. 
- Phase III - Microservices Identification. 
- Phase IV - Microservices Optimisation. 
- Phase V - Microservices Evaluation. 
- Phase VI - Microservices Deployment.","- Static Data
- Dynamic Data
- Model Data
- Version-based Data

- Methods
- Functions
- Classes
- Packages
- Software artifact (use cases, data stores)
- URI","- Code-based (CIC)
- Version-based (VIC)",- Log-based (LIC),- Model-based (MIC),"- Process documentation
- Interviews","- Static Analysis
- Dynamic Analysis
- Domain Analysis
- Version Analysis",- Structure,"- Call Graph
- Frequency
- Performance logs with method-level CPU and memory consumption [70]
- Web access logs with client IP, requested resource URI, timestamp, HTTP status code, and document size, response time [75,82].","- Version history
- Contributor history",,,"- Matrix
- Vector
- Graph","- Classes
-- Coupling
-- Cohesion
-- Topic Modeling
-- Business object modeling

- URI
-- Association with at runtime","- Rules of thumb
- Expert knowledge","- Hierarchical Clustering
- Kmeans Clustering
- Affinity Propagation
- Genetic Algorithm
- Fast Community Clustering
- Girvan-Newman and Epidemic Label
Propagation
- Louvain Algorithm
- Graph Matching for Ontologies
- Dependency Graph Analysis and Topic
Modelling
- Network based Community Detection Algorithm
- SArF
- Minimum Spanning Tree
- Hungarian Algorithm
- CO-GCN3

- Microservices optimization
-- Non-dominated Sorting Genetic
Algorithm II
-- Strength Pareto Evolutionary Algorithm
",,,,"- Coupling
-- Afferent coupling
-- Efferent coupling
-- Structural coupling
-- Instability
-- Interface number
- Cohesion
-- Lack of cohesion
-- Cohesion at message level
-- Cohesion at domain level
-- Relational cohesion
- Modularity
-- Conceptual similarity
-- Structural similarity
- Execution time
- CPU usage
- Memory usage
- Network overhead
- Number of classes per cluster
- Number of clusters
- Non-extreme distribution",,,"- Proposes Phase VI: Microservices Deployment, though it was only identified in one study and they raise the issue on the suitability for production environments
- Supervised
 techniques might increase the opportunity for human
involvement in the decomposition loop"
Abdellatif2021,A taxonomy of service identification approaches for legacy software systems modernization,"- RQ1: What are the inputs used by SIAs?
- RQ2: What are the processes followed by SIAs?
- RQ3: What are the outputs of SIAs?
- RQ4: What is the usability of SIAs?","- Input
-- Domain artifacts
-- Non executable model representations
-- Executabel model representations
- Process
-- Quality
-- Direction
-- Automation
-- Analysis type
- Output
-- Architecture
-- Service types
- Usability
-- Validation
-- Accuracy precision
-- Tool support
-- Results quality","- Architecture
-- Services
-- Microservices
- Service types
-- Business services
-- Enterprise services
-- Application services
-- Entity services
-- Utility services
-- Infrastructure services","- Source Code
- Database
","- Runtime artifacts
- Log Traces
- User Application Interaction
- Test cases","- Domain model
- Business Process 
Model
- Use Case
- Activity diagram
- Data Flow Diagram
- State Machine Diagram",- Documentation,"- Static analysis
- Dynamic analysis
- Lexical analysis
- Historic analysis",,,,,,- Concept lattices,,- Human expertise,"- Wrapping
- Genetic algorithms
- Clustering
- Custom heuristics

- Semi-automatic
-- Formal conceptual analysis
",,- General guidelines,,"- Coupling
- Cohesion
- Granularity
- Number of services",,,"- They consider the direction of the process
-- Top-down
-- Bottom-up
-- Mixed

- They consider the tool support
-- Industry ready
-- Open source
-- Prototype
-- No tool support

- They consider the results quality associated with the validation type
-- High
-- Medium
-- Low

- They do not distinguish between the monolith inputs and its treatment (monolith representation and domain knowledge)

- They include migration do SOA

- Quality requirements
-- Reuse
-- Maintainability
-- Interoperability
-- Self-containment
-- Composability

- Ontology"
Mohottige2025,Reengineering software systems into microservices: State-of-the-art and future directions,"- RQ1 How did research on the reengineering of software systems into microservice-based systems develop over time?
- RQ2 What approaches are used to reengineer software systems into microservice-based systems, and how are reengineered systems evaluated?
  - RQ2.1 What classes of approaches (e.g., static and dynamic) exist?
  - RQ2.2 What tools exist and which level of automation do they support?
  - RQ2.3 Which techniques/algorithms are used?
  - RQ2.4 How is data (e.g., software logs) used?
  - RQ2.5 How are the reengineered systems evaluated?
- RQ3 What are the challenges and limitations of existing methods for reengineering software systems into microservice-based systems?","- Microservice Identification
- Modeling
- Microservice Extraction
- Microservice Evaluation","- Classes
- Methods
- Packages
- Database entities","- Source Code
- Databse schemata
- Source code repository histories","- Software logs
- Server events logs
- Runtime monitoring","- Software desing artifacts
-- UML
-- Data flow diagrams
- Architectural documents
-- Use cases
-- User stories
- Ubiquitous language
- Domain Models
- Domain-driven design pattern
- Task-driven design patter
",,"- Static Analysis
- Dynamic Analysis
- Artifact-Driven
- Hybrid Analysis","- Structural inheritance
- Structural interaction",,,,,,,,"- Matrix/table based extraction
- Neural networks
- Graph-based extraction
- Machine learning & genetic algorithms",,- Expert analysis,,"- Cohesion
  - Relational Cohesion
  - Cohesion at message & domain level
  - Cohesion at method level / internal cohesion
  - Lack of Cohesion
  - Density
- Modularity
  - Structural Modularity
  - Conceptual Modularity
  - Mean cluster factor
  - Feature Modularization
- Runtime Performance
  - Latency / execution time
  - Throughput, accuracy and performance
  - Scalability
  - Availability
  - Efficiency gain
  - Network overhead
- Independence
  - Interface number
  - Interactions number / Inter partition call percentage
  - Operation number
  - Internal & external co-change frequency
  - Number of duplicated classes
  - Frequency of external calls
- Coupling
  - Coupling between microservices
  - Structural Coupling
  - Afferent & Efferent Coupling
  - Internal & External Coupling
  - Coupling at method level
  - Absolute importance & dependence
  - Microservice Interdependence
  - Instability Index","- Quality of the decomposition
  - DB transactional purity
  - Business Context Purity
  - Non-Extreme Distribution / classes per microservice
  - Precision, Recall & F-Measure
  - Code redundancy rate
  - Domain redundancy rate
  - Team size reduction
  - Reuse
  - Estimated development time
- MoJoFM
- MoJoSim",,- Modeling Techniques: 
Saucedo2025,Migration of monolithic systems to microservices: A systematic mapping study,"- Q1: How is monolithic systems to microservices migration done?
  - Sub-Q1: Which processes and techniques have been used to migrate towards microservices?
  - Sub-Q2: Which tools have been used in the migration from monolithic systems to microservices?
  - Q2: Which factors have caused the migration of monolithic systems to microservices?
  - Q3: What are the issues and benefits of migrating towards microservices?","1. Planning
2. Analysis
3. Design
4. Execution
5. Monotoring","- Business Function
- Data Entity
- Dataflow Diagram
- Entity
- Nanoentity
- Class
- Method
- Package
- Table
- API
- URI","- Source code (static)
- Test cases
- databases
  - stored procedures
  - tables

- repositories and Git history of commits and files.","- OpenAPI specifications
- API
- Hardware resource dependencies
- Log traces
- Hardware utilization metrics
- Web Access logs
- Performance logs",,"- Requirements specifications
- Use cases
- Use cases specifications
- Design documents
- entity-relationship design models
- feature list
- business processes
- requirements models
- model operations and data in TOSCA language

- Domain Specific Language (DSL) architecture description
- XMI system models","
- static
- dynamic
- documentation based
- source control based
- data based ",,,,,,,,- Domain or architectural expert,"- Word Embeddings
  - Word2Vec
  - CodeBERT
  - Code2Vec
- Label Propagation
- SVM
- Clustering
  - Affinity Propagation
  - Density
  - Distribution
  - Graph
  - Hierarchical
  - Partitioning
- Topic Detection
- Rule-based
- Neural Networks",- Genetic Algorithms,,,"- Internal Quality Attributes
  - Coupling
  - Cohesion
  - Database Quality
  - Evolvability
  - Microservices Quality
  - Redundancy
  - Size
- External Quality Attributes
  - Availability
  - Performance
  - Resource usage
  - Scalability
- Organizational Metrics
  - Cost
  - Complexity
  - Team
- External Evaluation",,,"Self-supervised, Semi-supervised, supervised and unsupervised"
Capuano2022,A Systematic Literature Review on Migration to Microservices: a Quality Attributes perspective,"- RQ1: Which studies implement a quality-driven approach to migrate to microservices?
- RQ2: Which are the quality attributes analyzed in the migration phases?
- RQ3: In which migration phase the quality-driven process is implemented?","- comprehension of the system (CP)
- identifying the microservices (MIP)",,"- Code
- Dependencies
- Classes
- Methods
- Packages
- Files
- Directories","- Logs
- Traces
- Use case testing
- User experience testing
- User stories testing
- Data ",- Business process,- Requirements,"- Static analysis
- Dynamic analysis
- Data-driven analysis
- Domain analysis",,,,,,,,,,,,,"- Cohesion
- Coupling
- Functionality
- Scalability",,,
Oumoussa2024,Evolution of Microservices Identification in Monolith Decomposition: A Systematic Review,"
- RQ1: How has the area of study on microservices identification evolved ?
- RQ2: What is the current state-of-the-art in microservices identification research?
- RQ3: What are the current and potential challenges associated with microservices identification?",,,- Codebase,,,,"- Model Driven
- Static Analysis / Static Code Analysis (SCA)
- Dynamic Analysis / Dynamic Microservices Composition (DMC)
- Meta-Data Assistance (MDA)
- Workload-Data Assistance (WDA)",,,,,- Structure of the monolithic system,,"
- Functionality
- Dependencies",,"
- Automation Algorithms
- Clustering-based
- Dependency-based
- Data-Driven","
- Genetic Algorithms
- Neural Networks",,,"
- Coupling
- Interface Number (IFN)
- Lack of Cohesion (LOC)
- Structural Modularity (SMQ)
- Execution Time
- Memory Usage
- Cohesion Metrics
- Performance Metrics
- CPU usage
- Network Overhead
- Precision and Recall
- F1-Score
- Changes in microservices (e.g., addition, modification, removal)
- Changes in lines of code 
- Code Smells
- Microservices popularity",,- Manual Comparation,
